n,factorization,num_factors,n_mod6,wing,num_left_factors
561,3*11*17,3,3,div3,2
1105,5*13*17,3,1,right,2
1729,7*13*19,3,1,right,0
2465,5*17*29,3,5,left,3
2821,7*13*31,3,1,right,0
6601,7*23*41,3,1,right,2
8911,7*19*67,3,1,right,0
10585,5*29*73,3,1,right,2
15841,7*31*73,3,1,right,0
29341,13*37*61,3,1,right,0
41041,7*11*13*41,4,1,right,2
46657,13*37*97,3,1,right,0
52633,7*73*103,3,1,right,0
62745,3*5*47*89,4,3,div3,3
63973,7*13*19*37,4,1,right,0
75361,11*13*17*31,4,1,right,2
101101,7*11*13*101,4,1,right,2
115921,13*37*241,3,1,right,0
126217,7*13*19*73,4,1,right,0
162401,17*41*233,3,5,left,3
172081,7*13*31*61,4,1,right,0
188461,7*13*19*109,4,1,right,0
252601,41*61*101,3,1,right,2
278545,5*17*29*113,4,1,right,4
294409,37*73*109,3,1,right,0
314821,13*61*397,3,1,right,0
334153,19*43*409,3,1,right,0
340561,13*17*23*67,4,1,right,2
399001,31*61*211,3,1,right,0
410041,41*73*137,3,1,right,2
449065,5*19*29*163,4,1,right,2
488881,37*73*181,3,1,right,0
512461,31*61*271,3,1,right,0
530881,13*97*421,3,1,right,0
552721,13*17*41*61,4,1,right,2
656601,3*11*101*197,4,3,div3,3
658801,11*13*17*271,4,1,right,2
670033,7*13*37*199,4,1,right,0
748657,7*13*19*433,4,1,right,0
825265,5*7*17*19*73,5,1,right,2
838201,7*13*61*151,4,1,right,0
852841,11*31*41*61,4,1,right,2
997633,7*13*19*577,4,1,right,0
1024651,19*199*271,3,1,right,0
1033669,7*13*37*307,4,1,right,0
1050985,5*13*19*23*37,5,1,right,2
1082809,7*13*73*163,4,1,right,0
1152271,43*127*211,3,1,right,0
1193221,31*61*631,3,1,right,0
1461241,37*73*541,3,1,right,0
1569457,17*19*43*113,4,1,right,2
1615681,23*199*353,3,1,right,2
1773289,7*19*67*199,4,1,right,0
1857241,31*181*331,3,1,right,0
1909001,41*101*461,3,5,left,3
2100901,11*31*61*101,4,1,right,2
2113921,19*31*37*97,4,1,right,0
2433601,17*37*53*73,4,1,right,2
2455921,13*19*61*163,4,1,right,0
2508013,53*79*599,3,1,right,2
2531845,5*19*29*919,4,1,right,2
2628073,7*37*73*139,4,1,right,0
2704801,11*29*61*139,4,1,right,2
3057601,43*211*337,3,1,right,0
3146221,13*31*37*211,4,1,right,0
3224065,5*13*193*257,4,1,right,2
3581761,29*113*1093,3,1,right,2
3664585,5*29*127*199,4,1,right,2
3828001,101*151*251,3,1,right,2
4335241,53*157*521,3,1,right,2
4463641,7*13*181*271,4,1,right,0
4767841,13*19*97*199,4,1,right,0
4903921,11*31*73*197,4,1,right,2
4909177,7*13*73*739,4,1,right,0
5031181,19*23*29*397,4,1,right,2
5049001,31*271*601,3,1,right,0
5148001,41*241*521,3,1,right,2
5310721,13*37*61*181,4,1,right,0
5444489,29*197*953,3,5,left,3
5481451,31*151*1171,3,1,right,0
5632705,5*13*193*449,4,1,right,2
5968873,43*127*1093,3,1,right,0
6049681,11*31*113*157,4,1,right,2
6054985,5*53*73*313,4,1,right,2
6189121,61*241*421,3,1,right,0
6313681,11*17*19*1777,4,1,right,2
6733693,109*163*379,3,1,right,0
6840001,7*17*229*251,4,1,right,2
6868261,43*211*757,3,1,right,0
7207201,17*353*1201,3,1,right,2
7519441,41*241*761,3,1,right,2
7995169,7*13*103*853,4,1,right,0
8134561,37*109*2017,3,1,right,0
8341201,11*31*61*401,4,1,right,2
8355841,13*41*61*257,4,1,right,2
8719309,19*37*79*157,4,1,right,0
8719921,7*23*41*1321,4,1,right,2
8830801,7*19*67*991,4,1,right,0
8927101,31*37*43*181,4,1,right,0
9439201,61*271*571,3,1,right,0
9494101,23*61*67*101,4,1,right,2
9582145,5*23*97*859,4,1,right,2
9585541,7*31*163*271,4,1,right,0
9613297,19*29*73*239,4,1,right,2
9890881,7*11*13*41*241,5,1,right,2
10024561,71*271*521,3,1,right,2
10267951,67*331*463,3,1,right,0
10402561,13*29*41*673,4,1,right,2
10606681,31*43*73*109,4,1,right,0
10837321,11*31*61*521,4,1,right,2
10877581,11*13*29*43*61,5,1,right,2
11119105,5*17*257*509,4,1,right,4
11205601,11*17*31*1933,4,1,right,2
11921001,3*29*263*521,4,3,div3,3
11972017,43*433*643,3,1,right,0
12261061,19*61*71*149,4,1,right,2
12262321,17*41*73*241,4,1,right,2
12490201,19*37*109*163,4,1,right,0
12945745,5*19*29*37*127,5,1,right,2
13187665,5*17*113*1373,4,1,right,4
13696033,13*17*29*2137,4,1,right,2
13992265,5*7*19*53*397,5,1,right,2
14469841,73*379*523,3,1,right,0
14676481,71*421*491,3,1,right,2
14913991,43*127*2731,3,1,right,0
15247621,61*181*1381,3,1,right,0
15403285,5*37*139*599,4,1,right,2
15829633,43*547*673,3,1,right,0
15888313,7*19*67*1783,4,1,right,0
16046641,13*37*73*457,4,1,right,0
16778881,7*17*19*41*181,5,1,right,2
17098369,113*337*449,3,1,right,2
17236801,151*211*541,3,1,right,0
17316001,53*157*2081,3,1,right,2
17586361,13*61*67*331,4,1,right,0
17812081,7*41*53*1171,4,1,right,2
18162001,11*13*17*31*241,5,1,right,2
18307381,29*61*79*131,4,1,right,2
18900973,7*13*229*907,4,1,right,0
19384289,89*353*617,3,5,left,3
19683001,13*37*151*271,4,1,right,0
20964961,17*19*47*1381,4,1,right,2
21584305,5*17*197*1289,4,1,right,4
22665505,5*17*97*2749,4,1,right,2
23382529,97*193*1249,3,1,right,0
25603201,13*29*113*601,4,1,right,2
26280073,73*157*2293,3,1,right,0
26474581,7*19*67*2971,4,1,right,0
26719701,3*29*197*1559,4,3,div3,3
26921089,13*37*97*577,4,1,right,0
26932081,11*47*113*461,4,1,right,4
27062101,11*31*61*1301,4,1,right,2
27336673,7*13*23*37*353,5,1,right,2
27402481,31*43*61*337,4,1,right,0
28787185,5*7*19*73*593,5,1,right,2
29020321,11*37*113*631,4,1,right,2
29111881,211*281*491,3,1,right,2
31146661,7*13*31*61*181,5,1,right,0
31405501,71*631*701,3,1,right,2
31692805,5*47*157*859,4,1,right,2
32914441,7*19*61*4057,4,1,right,0
33302401,11*31*61*1601,4,1,right,2
33596641,13*17*281*541,4,1,right,2
34196401,17*47*127*337,4,1,right,2
34657141,191*421*431,3,1,right,2
34901461,7*19*397*661,4,1,right,0
35571601,13*31*61*1447,4,1,right,0
35703361,61*277*2113,3,1,right,0
36121345,5*13*17*97*337,5,1,right,2
36765901,37*613*1621,3,1,right,0
37167361,7*11*41*61*193,5,1,right,2
37280881,11*17*73*2731,4,1,right,2
37354465,5*29*73*3529,4,1,right,2
37964809,109*379*919,3,1,right,0
38151361,41*53*97*181,4,1,right,2
38624041,37*61*109*157,4,1,right,0
38637361,7*37*241*619,4,1,right,0
39353665,5*13*193*3137,4,1,right,2
40160737,19*23*29*3169,4,1,right,2
40280065,5*7*67*89*193,5,1,right,2
40430401,11*101*151*241,4,1,right,2
40622401,17*43*61*911,4,1,right,2
40917241,19*31*127*547,4,1,right,0
41298985,5*7*13*139*653,5,1,right,2
41341321,7*19*31*37*271,5,1,right,0
41471521,7*13*31*61*241,5,1,right,0
42490801,31*41*101*331,4,1,right,2
43286881,11*31*61*2081,4,1,right,2
43331401,43*631*1597,3,1,right,0
43584481,17*31*191*433,4,1,right,2
43620409,7*19*157*2089,4,1,right,0
44238481,7*61*313*331,4,1,right,0
45318561,3*29*173*3011,4,3,div3,3
45877861,31*43*127*271,4,1,right,0
45890209,29*53*73*409,4,1,right,2
46483633,7*19*373*937,4,1,right,0
47006785,5*7*17*199*397,5,1,right,2
48321001,37*41*53*601,4,1,right,2
48628801,13*31*67*1801,4,1,right,0
49333201,17*61*113*421,4,1,right,2
50201089,97*673*769,3,1,right,0
53245921,17*41*79*967,4,1,right,2
53711113,157*313*1093,3,1,right,0
54767881,7*37*103*2053,4,1,right,0
55462177,17*23*83*1709,4,1,right,4
56052361,211*421*631,3,1,right,0
58489201,19*29*101*1051,4,1,right,2
60112885,5*7*443*3877,4,1,right,2
60957361,61*181*5521,3,1,right,0
62756641,109*241*2389,3,1,right,0
64377991,163*487*811,3,1,right,0
64774081,29*71*163*193,4,1,right,2
65037817,13*19*73*3607,4,1,right,0
65241793,29*43*113*463,4,1,right,2
67371265,5*13*37*109*257,5,1,right,2
67653433,19*29*199*617,4,1,right,2
67902031,43*271*5827,3,1,right,0
67994641,11*13*37*71*181,5,1,right,2
68154001,151*601*751,3,1,right,0
69331969,7*19*37*73*193,5,1,right,0
70561921,31*53*67*641,4,1,right,2
72108421,7*11*191*4903,4,1,right,2
72286501,7*67*79*1951,4,1,right,0
74165065,5*13*59*83*233,5,1,right,4
75151441,17*19*29*71*113,5,1,right,4
75681541,13*19*61*5023,4,1,right,0
75765313,13*29*73*2753,4,1,right,2
76595761,11*17*31*73*181,5,1,right,2
77826001,11*43*137*1201,4,1,right,2
78091201,31*37*103*661,4,1,right,0
78120001,19*73*151*373,4,1,right,0
79411201,193*257*1601,3,1,right,2
79624621,139*691*829,3,1,right,0
80282161,43*61*127*241,4,1,right,0
80927821,13*19*103*3181,4,1,right,0
81638401,13*97*101*641,4,1,right,2
81926461,19*67*139*463,4,1,right,0
82929001,281*421*701,3,1,right,2
83099521,19*37*43*2749,4,1,right,0
83966401,41*43*97*491,4,1,right,2
84311569,19*73*89*683,4,1,right,2
84350561,107*743*1061,3,5,left,3
84417985,5*29*577*1009,4,1,right,2
87318001,17*71*73*991,4,1,right,2
88689601,7*11*13*41*2161,5,1,right,2
90698401,103*647*1361,3,1,right,2
92625121,181*631*811,3,1,right,0
93030145,5*13*257*5569,4,1,right,2
93614521,7*11*13*41*2281,5,1,right,2
93869665,5*17*29*113*337,5,1,right,4
94536001,7*19*607*1171,4,1,right,0
96895441,109*433*2053,3,1,right,0
99036001,61*541*3001,3,1,right,0
99830641,53*79*113*211,4,1,right,2
99861985,5*97*109*1889,4,1,right,2
100427041,11*13*17*109*379,5,1,right,2
101649241,61*661*2521,3,1,right,0
101957401,7*13*19*109*541,5,1,right,0
102090781,13*19*31*67*199,5,1,right,0
104404861,11*37*71*3613,4,1,right,2
104569501,47*1151*1933,3,1,right,2
104852881,7*31*271*1783,4,1,right,0
